company	Catalent Pharma Solutions	12
company	hochstrasser personal consulting	14
company	Hexagon Geosystems	19
company	G & S Personalberatung	2
company	NTT DATA Services	1
company	ODLO	1
company	Odlo International AG	4
company	Sandoz	14
company	Kao Corporation	114
company	BASF Schweiz AG	8
company	Astoria Betriebs AG	4
company	Viking Cruises	28
company	ALTERSIS Performance	1
company	Allthings	1
company	CRB Consulting Engineers	1
company	Agility Logistics	11
company	RetinAI	5
company	Axxiome Canada	4
company	Financial EXPERT Global AG	1
company	Pöyry	9
company	Vebego Services	2
company	ems.ch	38
company	BASF Colors & Effects Switzerland AG	3
company	EUPRO	5
company	SIDLER SA	14
company	Tiffany & Co.	8
company	AgieCharmilles SA	2
company	Relewant	2
company	Cornell University	123
company	World Health Organization	84
company	UNHCR, the UN Refugee Agency	7
company	ICVA (International Council of Voluntary Agencies)	1
company	Gavi, the Vaccine Alliance Secretariat	23
company	EBU - European Broadcasting Union	8
company	Diversey, Inc.	45
company	PUBLISHING FACTORY	2
company	MobilityCo GmbH	3
company	Amaris	18
company	Swiss Federal Institute for Forest, Snow and Landscape Research WSL	13
company	ETH Zurich	173
company	Deloitte	28
company	Empa	33
company	Johnson Electric	12
company	Intuitive Surgical	13
company	The International School of Zug and Luzern	1
company	Medela LLC	28
company	Varian Medical Systems	34
company	Thomson Reuters	15
company	ITech Consult	60
company	Bosch Group	8
company	Morgan Sindall Professional Services	8
company	Shire Pharmaceuticals	18
company	TransEnterix, Inc.	5
company	Semtech	9
company	Happy Holiday Homes	1
company	Swatch Ltd	17
company	Eyra	4
company	Vans	26
company	Ecole Polytechnique Federale de Lausanne - EPFL	2
company	SAP	7
company	Drugs for Neglected Diseases Initiative	28
company	Expedia	13
company	PICTET	39
company	Coty Inc.	7
company	World Intellectual Property Organization	43
company	International AIDS Society	24
company	Procter & Gamble	10
company	UNITAR	39
company	Sorell Hotels	3
company	Randolphs	8
company	Nexthink	20
company	Frontiers Media SA	22
company	SwissBorg	13
company	UEFA	14
company	Kudelski SA	10
company	EF International Language Campuses	8
company	Napapjiri	21
company	Napapijri	24
company	Pelham Select	1
company	DXT Commodities	7
company	Wyss Center for Bio and NeuroEngineering	9
company	SAM International GmbH	8
company	Lumendo AG	7
company	Clariden Partners	2
company	FELFEL - good food at work	5
company	MSD	39
company	B. Braun Medical AG	4
company	Specialized Bicycle Components	16
company	ODLO International	7
company	bluebird bio	26
company	Cognizant	21
company	Action contre la faim	2
company	Pall	5
company	Helvetia Versicherungen	15
company	Thermo Fisher Scientific	48
company	SpiroChem AG	8
company	Datamars	2
company	Ferrowohlen AG	3
company	Zehnder Group	2
company	Oracle	27
company	Haemonetics Corp.	3
company	Holmes Place Health Club	3
company	Quotient Limited	25
company	CH12_Nestec SA	21
company	Robert Walters	24
company	FELFEL	6
company	CDK Global	1
company	Friedrich Miescher Institute	24
company	Hobson Prior	70
company	Solvias	18
company	bayer	3
company	Cochlear Ltd	11
company	B&B Analytics	1
company	netensity	2
company	VERO MODA	1
company	Pacifica Hotels	10
company	Alcon	21
company	Academic Work	34
company	General Electric	80
company	emploi.epfl.ch	11
company	Unil	95
company	Fresenius Kabi	10
company	Centre hospitalier universitaire vaudois	47
company	Saurer	1
company	FPT Motorenforschung AG	11
company	Avery Dennison	1
company	Amcor	30
company	University of Geneva	66
company	SWISSFLEX MICROELECTRONICS SARL	9
company	CSL Behring	50
company	Urban Food Concepts Ltd.	2
company	On AG	13
company	Imnoo AG	4
company	SEC Recruitment	35
company	Veritas Technologies	1
company	GOWAGO AG	4
company	Ayaval AG	1
company	Interactive Brokers	1
company	Regus	6
company	Biogen	64
company	Vertex Pharmaceuticals	2
company	Mylan	8
company	ALDI SUISSE AG	2
company	Fortinet	9
company	Thema Group	3
company	Louis Vuitton	3
company	BE YOU NETWORK	2
company	Novimmune	25
company	Covance	40
company	CERN	110
company	UNOPS	3
company	Swiss Re	54
company	JTI	24
company	Zimmer Biomet	21
company	Swatch Group	2
company	Daetwyler Graphics	1
company	Hotel Astoria	3
company	Ikea	19
company	Selmoni	1
company	Fossil Group, Inc.	8
company	V-Zug AG	2
company	Partners Group	18
company	ricardo.ch AG	5
company	Infront Sports & Media AG	12
company	Universal-Job	25
company	Kieser Training AG	2
company	pks-jobs.ch	6
company	Structure Tone	3
company	TALAN SA	3
company	Finders SA	9
company	Addex Therapeutics	10
company	CAPCO	2
company	The Chemours Company	10
company	DuPont	31
company	ObsEva SA	3
company	Custodigit	2
company	Global Personal Partner	44
company	MEIER + JÄGGI	1
company	Hilton Garden Inn Zurich Limmattal	2
company	Hamilton Company	33
company	U-NICA Systems AG	1
company	AGCO	15
company	Spar	3
company	Universität St.Gallen	28
company	Oprandi&Partner Personnel Recruitment	6
company	EM Microelectronic-Marin Ltd	6
company	EXECUTIVE SEARCH COMPANY	3
company	FORFIRM	2
company	DickiesLife	4
company	univativ Schweiz AG	1
company	Adecco	48
company	Resideo	2
company	AdNovum	3
company	Sulzer	22
company	RM IT Professional Resources AG	7
company	X-Bionic AG	3
company	Bürgenstock Hotels AG	4
company	Clariant	16
company	Gisin & Partner GmbH	4
company	Datalynx AG	29
company	SIB Swiss Institute of Bioinformatics	53
company	Vamedis Group	3
company	Arviem AG	3
company	Bristol-Myers Squibb	56
company	FARO Technologies	1
company	Redstone Commodity Search	1
company	University of St. Gallen	5
company	Belenos Clean Power Holding AG	19
company	Cabot Corporation	84
company	Work & Work SA	3
company	University of Applied Sciences and Arts of Southern Switzerland	50
company	Holidaycheck	1
company	Crit Interim SA	3
company	Bilfinger	1
company	Idiap Research Institute	18
company	Nexans	45
company	Altra Industrial Motion Corp.	3
company	Zoe Drocourt GmbH	3
company	HES-SO Genève	11
company	IATA	29
company	SYZ GROUP	1
company	Umanova SA	5
company	Chronos Consulting	2
company	ONE Training Center AG	2
company	AgentSelly	3
company	Genioo	5
company	Mars	4
company	Jet Aviation AG	27
company	UMS SKELDAR	2
company	Bio-Rad	24
company	Glion	11
company	REGENHU	9
company	Ralph Lauren	16
company	easyJet	3
company	Sika	3
company	Hölzle, Buri & Partner Consulting	1
company	KJUS	3
company	Parashift	4
company	GF Rohrleitungssysteme AG	1
company	Aspreva Pharmaceuticals	8
company	AquaSwiss	3
company	Huntsman	13
company	TECHFIRM	4
company	Melexis Microelectronic Systems	15
company	TAG Heuer	5
company	ActiveUnited Nations Development Programme (UNDP)	15
company	The Global Fund to Fight AIDS, Tuberculosis and Malaria	6
company	Kryon	3
company	Getyourguide	1
company	Promedis24 AG	3
company	EF Learning Labs	2
company	Man	2
company	Atos	18
company	Mondelez International	16
company	Kantonsspital St.Gallen	4
company	Endress+Hauser	7
company	BÜHLMANN Laboratories AG	6
company	Industrial X-Ray Technologies	3
company	HR Partners	4
company	Medecins Sans Frontieres	25
company	Human Rights Watch	3
company	Univerre Pro Uva SA	3
company	Debiopharm Group	35
company	Technical Hunters	5
company	CNH	10
company	Swiss Startup Factory	8
company	EAWAG - jobs.myScience	17
company	Bornhauser People's Management	1
company	Smith & Nephew	10
company	ALTOGEN AG	16
company	Vetsch AG	1
company	Sommet Education	3
company	Anuta Networks	3
company	British American Tobacco	9
company	Nozomi Networks	2
company	Locatee AG	15
company	Mövenpick Hotel Zürich-Airport	2
company	Satriun Group	1
company	SCHÖTTLI AG	5
company	Bank J. Safra Sarasin	8
company	THOMMEN AIRCRAFT EQUIPMENT	5
company	L-RAPHAEL Genève	4
company	Mace	2
